seal_id,romanized_reading,english_meaning,motif,domain,source
1008,KoLzi ur iru La laa vya mu n,KoLzi village IruLan's milk supply at Market Common,unicorn,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
1045,vaya(l) gaavvan,Carer of the field,unicorn,agriculture,INDUS_HARAPPAN_VER_4 Table 2 / Figs
1076,thava thava ney,Very good ghee,unicorn,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
1110,thava sa ma thaLa thava NNal,Respected equanimous great leader,unicorn,governance,INDUS_HARAPPAN_VER_4 Table 2 / Figs
1133,nay,Ghee,unicorn,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
1220,muuya,Oxen,unicorn,livestock,INDUS_HARAPPAN_VER_4 Table 2 / Figs
1228,mi mi KoLzi aagaavva,Very good KoLzi village cow carer (skill certification),unicorn,livestock,INDUS_HARAPPAN_VER_4 Table 2 / Figs
1326,mi la iLa vya mu n,Quality fresh milk at Bull St.,bull,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
1345,thava da iLa la vya mu n,Very good fresh milk at Rhinoceros St.,rhinoceros,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
1386,mi mi [thava] aa k thoLzu,Very good zebu cattle shed,composite,livestock,INDUS_HARAPPAN_VER_4 Table 2 / Figs
1425,illam vay muu tha ni,Home for the aged and alone,none,welfare,INDUS_HARAPPAN_VER_4 Table 2 / Figs
1447,ma laa la saa Na,"Gathered, heaped together manure",none,agriculture,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2082,Isa muu aagaavva,Cow carer of 3 cows of Isa,unicorn,livestock,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2110,La vya mun,Fresh milk at Elephant St.,elephant,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2127,eN y,Oil (sesamum ghee),elephant,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2167,muuya thoLzu,Shed for oxen,unicorn,livestock,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2234,vay ya iir illam,World is a big home,bull,governance,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2322,nay aakaavva,Ghee from cow carer,bull,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2358,didiir (dadaal) aa,Instant cow (on demand),unicorn,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2411,thava da vya mun,Good milk at many streets,fabulous,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2442,da tha ay vya mugar,Strong five-faced deity,unicorn,culture,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2444,NNal's aa Nai,Leader's command,unicorn,governance,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2503,mi mi koLzi gaavva,Very good KoLzi village guard,unicorn,governance,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2617,ivva da t l vya mu r mura,Buttermilk available here,unicorn,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2648,mi mi na y thoLzu,Very good ghee shed,elephant,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2864,NNal kai aa Nai,Leader's command,gharial,governance,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2929,nay,Ghee (pottery graffiti - GC-MS test piece),pottery,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2949,muuya,Oxen,circle,livestock,INDUS_HARAPPAN_VER_4 Table 2 / Figs
2950,nay,Ghee,circle,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
3016,di diir ay laa iaLa vyamun,Just expressed fresh milk,unicorn,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
3023,di diir (da daal) aa,Instant cow (on demand),unicorn,dairy products,INDUS_HARAPPAN_VER_4 Table 2 / Figs
3246,vaya muu La aagaavva,Carer of aged cow,none,welfare,INDUS_HARAPPAN_VER_4 Table 2 / Figs
4056,tha da ma laa La n,Strong organizer,unicorn,governance,INDUS_HARAPPAN_VER_4 Table 2 / Figs
4284,koyil ida aagaavva,Carer of temple cow,none,livestock,INDUS_HARAPPAN_VER_4 Table 2 / Figs
4354,ma laa La paNNa(da),Organized farmers,none,agriculture,INDUS_HARAPPAN_VER_4 Table 2 / Figs
4371,malaaLa paNNada aa Nai,Ordinance by farmers guild,none,governance,INDUS_HARAPPAN_VER_4 Table 2 / Figs
4440,iLa iru tta aa Nai,Early night order (curfew),none,governance,INDUS_HARAPPAN_VER_4 Table 2 / Figs
4718,ay ya ay o vyamun | ammu,Panic milk for children (ordinance),none,welfare,INDUS_HARAPPAN_VER_4 Table 2 / Figs
5119,muu da aa thoLzu,Shed for aged cattle,unicorn,welfare,INDUS_HARAPPAN_VER_4 Table 2 / Figs
8117,KoLzi aa Nai,KoLzi village ordinance,none,governance,INDUS_HARAPPAN_VER_4 Table 2 / Figs
