tally_count,tamil_name,tamil_script,phonemes,example_seal,notes
1,"onRu, oor","ஒரு, ஓர்","o, oo",,One; phonemes o (short) and oo (long). Both mean 1 in Tamil.
2,"iru, iir","இரு, ஈர்","i, ii",,Two; phonemes i (short) and ii (long).
3,"munRu, mu, muu","மூன்று, மு, மூ","mu, muu","2097,2167,89,102",Three; phonemes mu (short) and muu (long). Seal 2097: muu-da = muuththa (aged). Seal 2167: muu-ya = oxen.
4,"nanku, na, naa","நான்கு, ந, நா","na, naa","1076,2950,2322,2648,1133",Four; phonemes na (short) and naa (long). Key for ghee: na+y = ney (ghee). Seals: 2950=nanku y=ghee; 1076=thava thava na y=very good ghee; 1133=na y=ney (final evolved form).
5,"aintu, ai, ay","ஐந்து, அய்","ai, ay",,Five; phonemes ai/ay.
6,"aaRu, a, aa","ஆறு, அ, ஆ","a, aa",1007,Six also means 'river' (aaRu) in Tamil. Seal 1007: aaRu ya = one who has a river.
7,"eLzu, e, ee","ஏழு, எ, ஏ","e, ee",2478,Seven; phonemes e (short) and ee (long). Seal 2478: mi mi eezu njan aa = very good seven young cows.
8,"ettu, eN","எட்டு, எண்","e, eN",,Eight; phoneme eN. Also means 'sesame' (eNNai=sesame oil) in Tamil.
9,toNdu,தொண்டு,to,,Nine.
10,"pattu, pa",பத்து,pa,,Ten.
12,panniru,பன்னிரு,panniru,1414,Twelve. Seal 1414: iLa vya muu panniru aa = young 3x12 (36) cows. Highest seen: 3x12=36 cows.
